city,time,temperature,perceivedTemperatire,probabilityOfPrecipitation,pressure,humidity,windSpeed,windDirection
Kyiv,2014-12-27T02:00:00.000Z,-5,-9,5,767,55,2.9,E
Kyiv,2014-12-27T05:00:00.000Z,-5,-10,5,767,51,3.1,E
Kyiv,2014-12-27T08:00:00.000Z,-6,-10,3,766,56,3.1,E
Kyiv,2014-12-27T11:00:00.000Z,-5,-10,1,764,52,3.6,E
Kyiv,2014-12-27T14:00:00.000Z,-4,-9,3,763,49,4.2,NE
Kyiv,2014-12-27T17:00:00.000Z,-4,-10,3,761,44,4.1,NE
Kyiv,2014-12-27T20:00:00.000Z,-5,-10,14,760,48,4.3,NE
Kyiv,2014-12-27T23:00:00.000Z,-5,-11,28,758,54,4.6,NE
Kyiv,2014-12-28T02:00:00.000Z,-8,-13,15,759,72,3.6,N
Kyiv,2014-12-28T05:00:00.000Z,-9,-15,6,758,72,3.7,SE
Kyiv,2014-12-28T08:00:00.000Z,-9,-15,5,759,76,3.8,W
Kyiv,2014-12-28T11:00:00.000Z,-7,-13,6,760,63,4.3,W
Kyiv,2014-12-28T14:00:00.000Z,-5,-10,2,761,53,3.5,N
Kyiv,2014-12-28T17:00:00.000Z,-7,-11,0,761,65,1.9,NW
Kyiv,2014-12-28T20:00:00.000Z,-9,-12,2,763,73,1.8,S
Kyiv,2014-12-28T23:00:00.000Z,-8,-9,6,764,71,1.1,NE
Kyiv,2014-12-29T02:00:00.000Z,-7,-8,4,763,80,1,E
Kyiv,2014-12-29T05:00:00.000Z,-8,-10,10,762,81,1.5,N
Kyiv,2014-12-29T08:00:00.000Z,-8,-12,26,762,85,2.3,NE
Kyiv,2014-12-29T11:00:00.000Z,-8,-13,30,762,76,3.3,NE
Kyiv,2014-12-29T14:00:00.000Z,-7,-13,50,761,71,4.7,N
Kyiv,2014-12-29T17:00:00.000Z,-7,-14,56,761,62,5.5,N
Kyiv,2014-12-29T20:00:00.000Z,-7,-14,59,761,66,5.8,N
Kyiv,2014-12-29T23:00:00.000Z,-7,-14,61,761,72,5.5,N
Kyiv,2014-12-30T02:00:00.000Z,-8,-16,84,763,71,6,N
Kyiv,2014-12-30T05:00:00.000Z,-9,-16,77,764,62,5.6,NW
Kyiv,2014-12-30T08:00:00.000Z,-9,-16,52,766,56,4.8,NE
Kyiv,2014-12-30T11:00:00.000Z,-8,-15,22,767,50,4.8,NW
Kyiv,2014-12-30T14:00:00.000Z,-7,-13,2,768,47,4.6,N
Kyiv,2014-12-30T17:00:00.000Z,-8,-15,4,770,50,3.9,E
Kyiv,2014-12-30T20:00:00.000Z,-10,-16,0,772,57,3.1,N
Kyiv,2014-12-30T23:00:00.000Z,-11,-16,2,773,63,2.2,E
Kyiv,2014-12-31T02:00:00.000Z,-12,-16,2,775,65,2.2,SW
Kyiv,2014-12-31T05:00:00.000Z,-12,-17,2,775,67,2,W
Kyiv,2014-12-31T08:00:00.000Z,-13,-17,2,776,71,2,W
Kyiv,2014-12-31T11:00:00.000Z,-9,-15,2,776,57,2.8,W
Kyiv,2014-12-31T14:00:00.000Z,-7,-12,2,775,50,2.9,W
Kyiv,2014-12-31T17:00:00.000Z,-8,-13,2,775,56,2.8,W
Kyiv,2014-12-31T20:00:00.000Z,-8,-14,2,774,55,3.4,SW
Kyiv,2014-12-31T23:00:00.000Z,-7,-12,3,773,51,3.5,SW
